full_code|main_source|main_code|main_text|sub_source|sub_code|sub_text
A00-B99_A00-A09|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases
A00-B99_A15-A19|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19|A15-A19|Tuberculosis
A00-B99_A20-A28|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28|A20-A28|Certain zoonotic bacterial diseases
A00-B99_A30-A49|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49|A30-A49|Other bacterial diseases
A00-B99_A50-A64|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64|A50-A64|Infections with a predominantly sexual mode of transmission
A00-B99_A65-A69|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69|A65-A69|Other spirochetal diseases
A00-B99_A70-A74|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74|A70-A74|Other diseases caused by chlamydiae
A00-B99_A75-A79|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A75-A79|A75-A79|Rickettsioses
A00-B99_A80-A89|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A80-A89|A80-A89|Viral and prion infections of the central nervous system
A00-B99_A90-A99|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A90-A99|A90-A99|Arthropod-borne viral fevers and viral hemorrhagic fevers
