full_code|main_source|main_code|main_text|sub_source|sub_code|sub_text|sub_sub_source|sub_sub_code|sub_sub_text
A00-B99_A00-A09_A00|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A00|A00|Cholera
A00-B99_A00-A09_A01|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A01|A01|Typhoid and paratyphoid fevers
A00-B99_A00-A09_A02|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A02|A02|Other salmonella infections
A00-B99_A00-A09_A03|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A03|A03|Shigellosis
A00-B99_A00-A09_A04|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A04|A04|Other bacterial intestinal infections
A00-B99_A00-A09_A05|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A05|A05|Other bacterial foodborne intoxications, not elsewhere classified
A00-B99_A00-A09_A06|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A06|A06|Amebiasis
A00-B99_A00-A09_A07|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A07|A07|Other protozoal intestinal diseases
A00-B99_A00-A09_A08|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A08|A08|Viral and other specified intestinal infections
A00-B99_A00-A09_A09|https://www.icd10data.com/A00-B99|A00-B99|Certain infectious and parasitic diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09|A00-A09|Intestinal infectious diseases|https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A09|A09|Infectious gastroenteritis and colitis, unspecified
